-3.88	0	-5.04	0	-2.94	0	
-3.86	1.4213555727971E-05	-5.02	3.71962329312548E-05	-2.92	2.59721728826095E-06	
-3.84	0	-5	0	-2.9	5.02193186693781E-06	
-3.82	1.32851911569682E-05	-4.98	0.000121683606828537	-2.88	0	
-3.8	6.42200068618554E-06	-4.96	5.04182566234187E-05	-2.86	0	
-3.78	1.86261946822206E-05	-4.94	0.000113735789152687	-2.84	2.26902054015835E-06	
-3.76	1.20050898394493E-05	-4.92	0.000157083887584173	-2.82	0	
-3.74	1.16064111198317E-05	-4.9	0.000151867266633214	-2.8	0	
-3.72	2.24419443559501E-05	-4.88	0.0001615062737005	-2.78	4.10077583533591E-06	
-3.7	5.4241666661174E-06	-4.86	0.0002555063821735	-2.76	0	
-3.68	1.57321042536237E-05	-4.84	0.000274468038594546	-2.74	1.91646593952217E-06	
-3.66	1.01397697248711E-05	-4.82	0.000451100424422815	-2.72	9.26410876083418E-06	
-3.64	9.80303668370339E-06	-4.8	0.000423292714915176	-2.7	7.16516453437938E-06	
-3.62	3.31712019013721E-05	-4.78	0.000409235527516934	-2.68	8.6590194700137E-06	
-3.6	3.20696147846509E-05	-4.76	0.000395645167235215	-2.66	6.69716869812052E-06	
-3.58	1.77169202455245E-05	-4.74	0.00055637255438916	-2.64	9.71214221910646E-06	
-3.56	4.28213913633357E-05	-4.72	0.000728400697720399	-2.62	1.72142855866977E-05	
-3.54	4.13993297453641E-05	-4.7	0.000823385328644938	-2.6	2.42074384751969E-05	
-3.52	2.80171455003912E-05	-4.68	0.000775092951138019	-2.58	2.63289715209088E-05	
-3.5	5.41734403374691E-05	-4.66	0.00129617778185941	-2.56	2.54546089967473E-05	
-3.48	8.23026080265228E-05	-4.64	0.00108670112715249	-2.54	3.82811073568325E-05	
-3.46	8.68029917702425E-05	-4.62	0.000974892880927075	-2.52	3.83316041225166E-05	
-3.44	8.04236581975372E-05	-4.6	0.00117128391569726	-2.5	5.23932559910793E-05	
-3.42	0.000138602920075434	-4.58	0.00114123335332463	-2.48	6.30077895021422E-05	
-3.4	0.000150341504004427	-4.56	0.00139413517661414	-2.46	0.000117053034991874	
-3.38	0.000126390253756137	-4.54	0.00130649244744037	-2.44	9.9308767006955E-05	
-3.36	0.000158850824619161	-4.52	0.00176674807096096	-2.42	0.000119455307844322	
-3.34	0.000197876157478638	-4.5	0.00179309323715487	-2.4	0.000164058145366272	
-3.32	0.00019987074955714	-4.48	0.00184562887654823	-2.38	0.0001732187232949	
-3.3	0.0002677660246703	-4.46	0.00192881786624011	-2.36	0.000229005091426557	
-3.28	0.000274886554008591	-4.44	0.00215809706345024	-2.34	0.000251635275348575	
-3.26	0.000376705242001879	-4.42	0.00218771145163798	-2.32	0.000259308674851003	
-3.24	0.000336755821334478	-4.4	0.00223256273574199	-2.3	0.000335478510569146	
-3.22	0.000395510235343549	-4.38	0.00229095588322545	-2.28	0.000390438961825563	
-3.2	0.000463980246124346	-4.36	0.00246504017481165	-2.26	0.000386845733591755	
-3.18	0.00052295814924008	-4.34	0.00257784386329378	-2.24	0.000475324617485259	
-3.16	0.000640706036929844	-4.32	0.00261770313600678	-2.22	0.000546350249184	
-3.14	0.000691063356072353	-4.3	0.00280094096648378	-2.2	0.000613674230547881	
-3.12	0.000678298396337128	-4.28	0.00288383258019603	-2.18	0.000695278783643745	
-3.1	0.000817254252483607	-4.26	0.00307666099398526	-2.16	0.000815407208273306	
-3.08	0.000965271730192646	-4.24	0.00299939968313238	-2.14	0.000905220683400293	
-3.06	0.00104733696006269	-4.22	0.00320807575231193	-2.12	0.000975388677326523	
-3.04	0.00109619397617257	-4.2	0.0030549686684011	-2.1	0.00110818389303911	
-3.02	0.00121807068786854	-4.18	0.00367388548684643	-2.08	0.00122290968477839	
-3	0.00129904083745267	-4.16	0.00331247530343399	-2.06	0.00135128444336335	
-2.98	0.00133147998519109	-4.14	0.00360225366998247	-2.04	0.00151738605243179	
-2.96	0.00143651052561655	-4.12	0.0036738448669765	-2.02	0.00158062741803494	
-2.94	0.00162177582206059	-4.1	0.00362657380255776	-2	0.00181321976862701	
-2.92	0.00175101134253564	-4.08	0.0037114870722601	-1.98	0.00187196005759326	
-2.9	0.00190780603348565	-4.06	0.00399631961034021	-1.96	0.00212143781007388	
-2.88	0.00204818096224451	-4.04	0.00409108524851049	-1.94	0.00231455733369001	
-2.86	0.0021416745709739	-4.02	0.00426793048406334	-1.92	0.00251842423295658	
-2.84	0.00223050815884729	-4	0.0042889849175577	-1.9	0.0026375340064323	
-2.82	0.00236630989507207	-3.98	0.00455446158325714	-1.88	0.0029231281506585	
-2.8	0.00244910169426734	-3.96	0.00431316024516591	-1.86	0.00316993273614927	
-2.78	0.0026396495981897	-3.94	0.00431102283582271	-1.84	0.00333004243684591	
-2.76	0.00267287863443895	-3.92	0.00455968251199472	-1.82	0.00375893514458029	
-2.74	0.0027717578099679	-3.9	0.00456259054151659	-1.8	0.00400715429303819	
-2.72	0.00291399037972435	-3.88	0.00453043559979184	-1.78	0.0044071165937496	
-2.7	0.00310385203010563	-3.86	0.00467897662680262	-1.76	0.00468892375191365	
-2.68	0.00324882181449844	-3.84	0.0047974415626759	-1.74	0.00502045241759188	
-2.66	0.00336200483029203	-3.82	0.00483423777263453	-1.72	0.00542064616522185	
-2.64	0.00346227618357557	-3.8	0.00472109746642325	-1.7	0.00581023620491449	
-2.62	0.00358019808900287	-3.78	0.00484614650949208	-1.68	0.00618845104526338	
-2.6	0.00380074578395998	-3.76	0.00493774629717714	-1.66	0.00664712444241175	
