-26,94338885391 0,0001919573428127
-26,83493333359 0,0002078056728134
-26,74313932178 0,0002680293268162
-26,63468380146 0,0002395023328149
-26,54296764717 0,0002870473228171
-26,5428508609 0,0002585203288158
-26,44284288111 0,000306065318818
-26,44272609483 0,000220484336814
-26,34271811504 0,000306065318818
-26,34260132877 0,000220484336814
-26,24259334898 0,000306065318818
-26,2424765627 0,000220484336814
-26,14246858292 0,000306065318818
-26,14235179664 0,000220484336814
-26,04234381685 0,000306065318818
-26,04222703058 0,000220484336814
-25,94221905079 0,000306065318818
-25,94210226451 0,000220484336814
-25,84209428472 0,000306065318818
-25,84197749845 0,000220484336814
-25,74196951866 0,000306065318818
-25,74185273239 0,000220484336814
-25,6418447526 0,000306065318818
-25,64172796632 0,000220484336814
-25,54171998653 0,000306065318818
-25,54160320026 0,000220484336814
-25,44159522047 0,000306065318818
-25,4414784342 0,000220484336814
-25,34147045441 0,000306065318818
-25,34135366813 0,000220484336814
-25,24134568834 0,000220484336814
-25,24122890207 0,000220484336814
-25,16613532752 0,0003345923128194
-25,13287719177 0,000263274827816
-25,04113508497 0,00034885580982
-25,04099883432 0,00034885580982
-24,94097139015 0,00034885580982
-24,94085460388 0,0002347478338147
-24,84084662409 0,000306065318818
-24,84072983781 0,000220484336814
-24,74072185802 0,0003631193068207
-24,74060507175 0,000306065318818
-24,64067494948 0,0004487002888247
-24,64051923444 0,000391646300822
-24,54055018341 0,0005342812708287
-24,54039446838 0,0005913352588314
-24,43208168684 0,0006626527438348
-24,3403785088 0,0006341257498334
-24,34024225815 0,0008052877138415
-24,26516814798 0,0007767607198402
-24,23191001223 0,0007767607198402
-24,16504338192 0,0009336591868475
-24,13178524617 0,0009621861808488
-24,04008206813 0,001047767162853
-24,0399263531 0,001104821150855
-23,93999623082 0,001161875138858
-23,93984051579 0,001076294156854
-23,839832536 0,001190402132859
-23,83971574973 0,001076294156854
-23,73970776994 0,001161875138858
-23,73959098366 0,001218929126861
-23,63958300387 0,001275983114863
-23,53953609533 0,001333037102866
-23,53941930905 0,001390091090868
-23,43941132926 0,001447145078871
-23,43929454299 0,001361564096867
-23,3392865632 0,001447145078871
-23,33916977692 0,001361564096867
-23,23916179714 0,001361564096867
-23,23904501086 0,001371073094868
-23,16395143631 0,001513708064874
-23,13070627682 0,001485181070873
-23,03899012252 0,00162781604088
-23,03887333625 0,001684870028883
-22,93886535646 0,001646834036881
-22,93874857019 0,001646834036881
-22,86365499564 0,001741924016885
-22,8387405904 0,001713397022884
-22,73028507008 0,001856031992891
-22,66348332103 0,0020557209509
-22,63856891579 0,002084247944901
-22,53852200724 0,002245900910909
-22,53840522096 0,002331481892913
-22,43847509869 0,002445589868918
-22,43831938366 0,002417062874917
-22,33835033263 0,002616751832926
-22,33823354635 0,002588224838925
-22,23830342408 0,002673805820929
-22,23818663781 0,002730859808931
-22,16309306326 0,002930548766941
-22,12983492751 0,002887758275939
-22,03813174947 0,002944812263941
-22,03799549882 0,003087447233948
-21,96292138865 0,003201555209953
-21,93800698341 0,003173028215952
-21,83796007486 0,003329926682959
-21,83784328859 0,003529615640969
-21,7378353088 0,00355814263497
-21,63778840025 0,003529615640969
-21,63767161397 0,003681759608976
